name,principal component 0,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,principal component 11,principal component 12,principal component 13,principal component 14,principal component 15,principal component 16,principal component 17,principal component 18,principal component 19,principal component 20,principal component 21,principal component 22,principal component 23,principal component 24,principal component 25,principal component 26,principal component 27,principal component 28,principal component 29,principal component 30,principal component 31,principal component 32,principal component 33,principal component 34,principal component 35,Class
grieta167.jpg,-0.7903754978455871,0.09501251788082206,-0.027493215130383053,-0.05406677349502492,0.11193539331713312,0.015941375343402744,0.08375522437351263,0.0968371016241769,-0.24766600194279131,0.14331479296461358,0.06055561182828304,-0.10192085105883081,0.007086771827677565,-0.1089854054073902,0.06856074929011809,0.01966429371345833,0.01311365320530124,0.0069183659184555175,-0.06627330402793369,0.19824303690982026,0.032863992401741,0.041528804918185766,0.11252790542704312,-0.052477026406289456,-0.03053018110854851,-0.019420512877857326,-0.036661134033428217,-0.09136591500469411,0.01547425719854813,-0.04592626545489579,0.04606619884207477,0.034367852000131816,0.03466675104476535,0.06674663058354895,0.0591198812208808,-0.02007371650705831,G-Transverse
grieta168.jpg,-0.7996346323486323,0.14079910092898473,-0.01683235953012974,-0.02081460481346418,0.06916578085008372,0.015132463379697095,0.06881137317952303,0.08295179292349898,-0.25553098798242224,0.054629166290662196,0.02464710414791742,-0.15253556436678287,-0.01918819168863153,-0.13990283601641354,0.09167431465676747,-0.09081387294075594,0.0006903579499851595,0.006329689588669667,-0.07425514503321343,0.09435235136915822,-0.00740767739693473,0.010868260624098885,0.007756327788394423,-0.11018091033484113,-0.04020454425097504,-0.08563536937800259,-0.08668410471382951,0.031986074566043035,-0.03333244357592168,-0.11203952104255635,-0.0053527420626765495,0.04226560648208879,0.023581057920825706,-0.000718466543392451,-0.029653261491035816,-0.008587775365463433,G-Transverse
grieta169.jpg,-0.7943509169931875,0.17496780684631094,-0.008292293488014833,0.01776978627048555,0.011865555529662248,0.01944825295181039,0.07579498693748875,0.07382483004928443,-0.24328120080945564,-0.02882695620666528,0.0031934260422404946,-0.14710630401759558,-0.033439310179118276,-0.13967268247584472,0.09022478807301706,-0.18062274855696292,0.019823160664999194,-0.00787777475987776,-0.042466473396372446,-0.03833692231545504,-0.04078170191263837,0.00027145910742968043,-0.0854532292207642,-0.06040019234236325,-0.03293053185343933,-0.09837589325194272,-0.01991831911999477,0.08423700139124018,-0.02368851251865269,-0.015770854460709017,-0.03338268500517812,0.03312145650476118,-0.019279107922365462,-0.045122459547464716,-0.049304541709305476,-0.004350537616299378,G-Transverse
grieta170.jpg,-0.7993264538276406,0.21881481714412482,-0.0031194907749804296,0.04762407567687343,-0.009211554194973904,0.019442563100682243,0.0849420278693026,0.05120850870422223,-0.16073390400822182,-0.12134876227214432,-0.038024961568676324,-0.16084074861727,-0.021194677343094083,-0.02374402413286468,0.13252690918287283,-0.17670926112366359,0.03996184745369359,-0.011506566178817146,0.02139962125647319,-0.15056894029432988,-0.03690781139315869,-0.004146252952466832,-0.11215673259486147,0.05434166651538948,0.011201850083649618,-0.05052752430475513,0.04525776207583856,0.013752699552806566,-0.021060480467254353,0.08069930955911618,-0.014932360579204274,-0.040625145595286134,-0.04269982871170867,0.0021772011303317663,0.019938039170486473,0.02381262375702133,G-Transverse
grieta171.jpg,-0.8034249549521012,0.2354064528304314,0.006197682535169843,0.07434065979044453,-0.035741256549059706,0.012851659586166672,0.07473342123915858,0.03266366348439703,-0.09874937269828597,-0.17500271933217654,-0.06413605160449931,-0.07200839138201079,-0.032774483664264796,0.05285509739625107,0.09591389417780806,-0.09971186927059969,0.06300844582270435,0.00203061561770788,0.07554003866403734,-0.1443038452641864,0.015799289578103407,0.012125038934975024,-0.041724754823556316,0.14716016890357236,0.03766161168785724,0.028560183745449254,-0.0031220754448046508,-0.12122939515037365,0.05815406990734326,0.0460528828903981,0.027205632728066136,0.015700772254370825,-0.01633892813871844,0.05923005737947643,0.019626325249665687,0.012921215934859651,G-Transverse
grieta172.jpg,-0.8006264015359821,0.25761659730727177,0.012644719556240774,0.09271900520398686,-0.06751508971474683,0.011589726113506813,0.02206294836221237,0.01699212000713719,-0.06158286042884537,-0.1839226144153797,-0.07341141579894532,0.06897086503033335,-0.035673488058782094,0.08458168699017496,0.038643742972005755,0.025024021883711035,0.050277472848228075,0.07149903218059223,0.13076817973895286,-0.08157457550815359,0.048707789339588387,0.012739229587972143,0.019902721057610543,0.10016841372214291,-0.006614503884075981,0.05672842090897807,-0.04929314695693654,-0.13549279015814658,0.028402044990261787,-0.0667787518735173,0.044454422048782735,0.024176854068788053,-0.04919048515782168,0.01901400048019193,0.005962834473691382,0.010961294153673383,G-Transverse
grieta173.jpg,-0.7883905945988565,0.30117425954202776,0.016097637267179648,0.10676902276596605,-0.09528246052149249,0.007088606036699298,-0.03917276469049233,-0.0008311239181758287,0.033255001517802724,-0.1505361408488947,-0.06400398920247552,0.1270639293434745,-0.01300717233081192,0.09651801932447268,0.006718471890789476,0.11213659598048935,0.054073737497504167,0.11121055688715056,0.09649903560480434,0.018923894462218118,0.08796043100425299,0.025161629407580998,0.12422351692714227,-0.05640399929195304,-0.0349986463367445,-0.013698508657635954,-0.018156436292339307,-0.04481172236795351,-0.04693334032024489,-0.0862258997175462,0.0013044892116533646,0.022097409366246202,-0.03295030514374336,-0.04631495858672643,-0.024598379923709918,0.0496462750945621,G-Transverse
grieta174.jpg,-0.7936244148559582,0.2725146046751487,0.014519395281160818,0.09317018101310306,-0.09174037223988368,0.004221661938624195,-0.11678044056630713,-0.013016930960402235,0.10066064861447786,-0.017141503480622263,-0.04012997229647627,0.09995951858490702,0.02202256778668452,0.051523823848759795,0.033926833403509764,0.15466399915279808,0.04180302592842872,0.1109241289339897,0.0551195300532117,0.01627837436266546,0.07709120258103905,0.02294813765237893,0.06860785819835176,-0.0883210686160257,-0.015728372364769833,-0.11519326147450835,-0.027893434325297346,0.11724518096662828,-0.044736304367222056,0.0054907813612141395,-0.03223173781858235,-0.010479575425407828,0.04886222514714705,0.004876826841750382,0.001610008486662142,0.03410300800341175,G-Transverse
grieta175.jpg,-0.7774689498289239,0.2778650441258629,0.007088234575464824,0.07405904288774721,-0.08063911448369958,0.009487945822472475,-0.20709923768290897,-0.04209206754223502,0.21254535410180098,0.12633716141573226,0.0236762594255367,-0.012526674881723179,0.06354792517659001,-0.02146049895261438,0.05979937840160624,0.13757693804209234,0.03256744051157285,0.0358059005619089,-0.04524826943292571,0.012154739016208163,0.020900144363849155,0.02871980030909989,-0.016301868284660567,-0.03581129529587776,-0.0028198030149934467,-0.08555950636889904,-0.01384514806118656,0.08643617364840168,0.0011730048550188295,0.036274210095506375,-0.013323086249058102,-0.031940092703201604,0.06615742128923395,0.03938039413936695,0.041087706344405985,0.03268837831980989,G-Transverse
grieta176.jpg,-0.8014758734491404,0.21901439493445243,0.013601048248755037,0.05984220276244484,-0.08350574694956024,0.02885414749873837,-0.21322578670575865,-0.021914666954313263,0.2028862505551421,0.18798292840949665,0.052048056618920244,-0.02239639228497768,0.052722131628459644,-0.11072636335089879,0.04112939649764712,0.10109701411787102,0.0007652805447574703,-0.010798816831473518,-0.12779397173648738,-0.012092227279002953,-0.007584073230230791,0.004790376182033628,-0.08950542729127241,0.07779960707221083,-0.020478939710435136,-0.004427575006430773,-0.008888179925377548,-0.015337625201534864,0.07741181313373355,0.038670555837077195,0.026654747949463313,0.024848098039891322,-0.0062517612704895715,0.014467668613852869,-0.03595604925868799,-0.026531771257959663,G-Transverse
